nama_toko,folder_toko,jenis,kunci,tipe,file_lokal,url,ukuran_byte
Kaitin.aja,toko2,JIBBITZ,JB-0000001,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000001.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000001.png,313662
Kaitin.aja,toko2,JIBBITZ,JB-0000002,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000002.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000002.png,279792
Kaitin.aja,toko2,JIBBITZ,JB-0000003,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000003.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000003.png,282767
Kaitin.aja,toko2,JIBBITZ,JB-0000004,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000004.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000004.png,269522
Kaitin.aja,toko2,JIBBITZ,JB-0000005,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000005.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000005.png,297102
Kaitin.aja,toko2,JIBBITZ,JB-0000006,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000006.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000006.png,233035
Kaitin.aja,toko2,JIBBITZ,JB-0000007,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000007.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000007.png,289040
Kaitin.aja,toko2,JIBBITZ,JB-0000008,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000008.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000008.png,282532
Kaitin.aja,toko2,JIBBITZ,JB-0000009,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000009.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000009.png,261932
Kaitin.aja,toko2,JIBBITZ,JB-0000010,varian,E:\Project\Mass upload shopee\foto-upload\toko2\jibbitz\JB-0000010.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko2/jibbitz/JB-0000010.png,280295
